term	pos	meaning
give a prescription	v. phr.	开处方
make an appointment	v. phr.	预约
eyes	n. pl.	眼睛
chemist's	n.	药店（英式用法）
el nino	n.	厄尔尼诺现象
contaminant	n.	污染物
20 centigrade	phr.	摄氏二十度
personal trainer	n. phr.	私人健身教练
running facilities	n. phr.	跑步设施
cleanest	adj.	最干净的（clean 的最高级）
footprint	n.	脚印；足迹；占用的空间或影响范围
contact lenses	n. phr.	隐形眼镜
a couple of	quant. phr.	两个；几个
strained	adj. / v.	紧张的；拉伤的；勉强的；strain 的过去式和过去分词
charitable organization	n. phr.	慈善组织
perk	n. / v.	额外福利；振作起来（常与 up 连用）
give sb. a sack	v. phr.	原词表写法；若指“解雇某人”，通常说 give somebody the sack。
kick sb. out of work	v. phr.	使某人失去工作；把某人赶出工作岗位（原词表表达）
domestic violence	n. phr.	家庭暴力
breath-taking	adj.	令人惊叹的；惊险的
high quality camera	n. phr.	高质量相机
cannibal	n.	食人者；同类相食的动物
overhead view	n. phr.	俯视图
seven-screen	adj.	有七块银幕的；七厅的（影院语境）
self-defence	n.	自卫；自我防卫
self-funded	adj.	自费的；自行筹资的
sacked	v. / adj.	被解雇的；sack 的过去式和过去分词
highly-trained	adj.	受过高度训练的；训练有素的
book in advance	v. phr.	提前预订
have strong hearts and lungs	v. phr.	拥有强健的心肺
drama festival	n. phr.	戏剧节
shoplifter	n.	商店扒手；商店行窃者
reinvest	v.	再投资
little-known	adj.	鲜为人知的
seating capacity	n. phr.	座位容量；可容纳人数
cross passage	n. phr.	横向通道；联络通道
running tunnel	n. phr.	行车隧道
non-active	adj.	不活跃的；未活动的
microchip	n.	微芯片
suntan block	n. phr.	防晒用品（原词表表达，通常说 sunblock）
stretching	n. / v.	伸展运动；拉伸（stretch 的现在分词）
head office	n. phr.	总部；总公司
computer programmer	n. phr.	计算机程序员
strict control	n. phr.	严格控制
digital system	n. phr.	数字系统
storage space	n. phr.	存储空间；储物空间
simulation	n.	模拟；仿真
collection tank	n. phr.	收集罐；集水箱
private property	n. phr.	私有财产；私人地产
general election	n. phr.	大选
double-grill	n. / adj.	双烤架；双烤架的（原词表复合写法）
heat indicator	n. phr.	热量指示器；温度指示器
buried	v. / adj.	埋藏的；被掩埋的；bury 的过去式和过去分词
power company	n. phr.	电力公司
cost effective	adj.	成本效益高的；划算的
one quarter	n. phr.	四分之一
one fourth	n. phr.	四分之一
one third	n. phr.	三分之一
one half	n. phr.	二分之一
three quarters	n. phr.	四分之三
three fourths	n. phr.	四分之三
japanese yen	n. phr.	日元
divided by	phr.	除以
four nights	n. phr.	四个晚上
egypt	n.	埃及
malaysian	adj. / n.	马来西亚的；马来西亚人
oceanian	adj. / n.	大洋洲的；大洋洲人
washington	n.	华盛顿（地名或姓氏）
pacific ocean	n. phr.	太平洋
atlantic ocean	n. phr.	大西洋
indian ocean	n. phr.	印度洋
arctic ocean	n. phr.	北冰洋
food processing	n. phr.	食品加工
expo	n.	博览会；展览会
olive oil	n. phr.	橄榄油
film studio	n. phr.	电影制片厂；摄影棚
fire drill	n. phr.	消防演习
science fiction	n. phr.	科幻小说；科幻作品
electronic dictionary	n. phr.	电子词典
powerpoint	n.	PowerPoint 演示文稿软件；用它制作的幻灯片
planet society	n. phr.	原词表表达；字面为“行星学会”，具体机构名称待核对。
video signal	n. phr.	视频信号
class representative	n. phr.	班级代表；课代表
freezer	n.	冰柜；冷冻柜
ice pack	n. phr.	冰袋；浮冰群
higher	adj. / adv.	更高的；更高地（high 的比较级）
wollongong	n.	伍伦贡（澳大利亚城市）
booklist	n.	书单；推荐书目
tv	n.	电视；电视机
air-conditioner	n.	空调；空气调节器
cola	n.	可乐饮料
recycling	n.	回收利用
hard-working	adj.	勤奋的；努力工作的
internet	n.	互联网；因特网
online	adj. / adv.	在线的；在网上
low-risk	adj.	低风险的
herbivorous	adj.	食草的；以植物为食的
